,adpcm_dec_main,audiobeam_main,binarysearch_main,bsort_main,cjpeg_wrbmp_main,complex_updates_main,countnegative_main,cover_main,dijkstra_main,fft_main,filterbank_main,fir2dim_main,fmref_main,g723_enc_main,gsm_dec_main,gsm_enc_main,h264_dec_main,huff_dec_main,iir_main,insertsort_main,jfdctint_main,lift_main,lms_main,ludcmp_main,matrix1_main,md5_main,minver_main,ndes_main,petrinet_main,powerwindow_main,prime_main,st_main,statemate_main
filterbank_main,0,0,39929891,0,39919003,0,39929891,39919003,39916215,0,0,39916216,39916216,39916216,39916215,39916216,39916216,39916216,39916216,39916215,39916215,39916216,39916216,39916216,39916216,39916216,39916215,39916215,39916216,39916216,39916216,39916215,39916216
fir2dim_main,0,528162,517586,0,509038,513505,537249,514847,530094,0,514951,0,516240,516241,516240,516241,516240,516241,516241,516241,516241,516241,516240,516240,516241,516241,516241,516241,516241,516241,516241,516241,516241
fmref_main,56461112,53264492,0,56312485,0,59339618,52526858,55610122,57809249,0,56076359,53143603,0,0,59318047,59001336,59099538,59015058,59064248,59395360,59324383,59195474,59283674,59093066,59019666,0,59384992,58910160,59401529,58959614,59059290,59245280,59315487
g723_enc_main,0,0,190711375,178871368,178788073,179186557,190499662,176524848,177551626,0,177449777,189079625,0,178082827,178082826,178082827,178082827,178082827,178082827,178082827,178082827,178082827,178082827,178082827,178082827,178082826,178082827,178082827,178082827,178082827,178082827,178082827,178082827
gsm_dec_main,0,0,78604894,79599386,81348460,0,78602980,80871122,79482875,0,80871122,80471804,79529362,79599597,0,0,0,79489840,79489841,79489841,79489841,79489840,79489840,79489840,79489840,0,79489841,79489841,79489841,79489840,79489840,79489840,79489840
gsm_enc_main,0,466451321,616847067,0,484951333,618399681,616964072,617718741,619598347,0,617718741,597975306,616850954,621591613,0,620005337,620005338,620005337,620005337,620005337,620005337,620005337,620005337,620005337,620005337,620005337,620005337,620005337,620005337,620005337,620005337,620005337,620005337
h264_dec_main,3095947,0,0,98808837,0,93230466,3260073,94109395,3227506,0,94110226,2246048,89034172,93877084,0,98581800,2478969,3237408,88847330,94144777,99346044,2730958,2724843,2889638,99520354,0,0,0,99076145,99730449,88582174,99346044,94144778
huff_dec_main,0,0,44181965,42847922,44591048,43692059,44053752,43475036,42335505,0,44574338,44398201,44996835,42107502,45152673,42388549,43844730,0,0,42332988,42332988,42332988,42332987,0,42332988,42332988,42332988,42332988,42332987,42332987,42332987,42332988,42332987
iir_main,0,0,18559,20047,19392,18800,18619,19179,20046,0,19179,18121,18577,19006,18121,20047,18619,0,0,18710,18710,18710,18710,18709,18710,18710,18710,18710,18710,18709,18710,18710,18709
insertsort_main,0,97971,97203,97096,135434,0,98495,127033,96368,116566,126706,116309,97385,99332,95944,96369,96194,96193,98014,0,98023,98023,98024,98024,98024,98023,98023,98024,98024,98024,98023,98024,98023
jfdctint_main,77632,69850,71470,0,0,71308,70204,71479,76270,69520,71479,75276,78987,78879,73183,78219,72450,69520,75314,76657,0,0,74707,74707,74707,74707,74707,74707,74707,74707,74707,74707,74707
lift_main,0,58052824,0,56369240,58288060,58388293,59593666,60070750,58443108,58007897,60576256,59614158,61548440,59111549,57573119,56975418,59566649,59008883,57550914,58547527,0,56530046,56530047,56530046,56530046,56530046,56530046,56530046,56530046,0,56530046,56530046,0
lms_main,0,0,13452875,13506744,13613385,13508453,13452875,13487749,13506744,13452876,13487750,13613384,13452875,13506744,13613384,13527648,13452876,13452876,13506744,13613384,13613384,13452876,0,0,0,13527648,13527648,13527647,13527648,13527648,13527648,13527647,13527647
ludcmp_main,0,710115,709014,0,710115,0,709014,693565,702056,0,693564,710115,709014,702056,710116,702056,709014,0,702057,710116,710116,709020,0,0,0,0,702056,702056,702056,702056,702056,702056,702056
matrix1_main,1549912,1544712,1549911,1543006,0,1544815,1549911,1544815,1543006,0,1544816,1544712,1549911,1543006,1544713,1543006,1549911,1549911,1543006,1544712,1544713,1549911,0,0,1543006,1543006,1543006,1543006,1543006,1543006,1543006,1543006,1543006
md5_main,0,2160105440,0,2224469625,2160105439,2218531201,2130846220,2218585984,2127800441,0,2218585984,2158275039,0,2128066681,0,2159093319,0,2228229131,2193144441,2160105440,2225633760,2196543500,2218852224,0,2162779659,0,0,2226418247,2226418247,2226418247,2226418247,0,2226418247
minver_main,0,0,340270,286870,267761,0,319042,320161,354815,0,320161,344769,340796,346955,328785,292462,0,319958,330944,272436,351680,338891,328062,342419,345142,0,0,330175,330176,330176,330176,330175,330176
ndes_main,0,0,3468483,0,3513354,3567643,3683709,3663068,3354168,3642035,3568749,3541953,3625686,3895370,3655888,3905480,0,3694642,3781860,3813443,3720689,3506000,3270544,3470267,3688271,3518935,3575790,0,3739554,3739554,3739555,3739555,3739555
petrinet_main,136419,0,0,136794,0,141015,142061,144933,134518,0,143657,145713,133109,141106,146853,137442,136826,137945,141122,140515,142001,139535,136864,142834,132245,137681,138485,139250,0,142012,142012,142012,142012
powerwindow_main,0,0,195529383,196698041,159916211,0,194238973,195897644,162120459,0,160288583,194672705,197430843,156735758,161754492,197313276,197025381,159965241,162411209,197627586,193514723,0,193899989,126093905,196341480,151014940,160234961,197864085,146904211,0,0,196242506,0
prime_main,0,1477667,269629,1453928,1465664,1438806,1456121,1438812,1441800,1453977,1438920,1475608,248935,1445543,1465663,342880,1453868,1449702,1441799,1465664,1469293,1467168,1451681,974861,1453986,1449823,1469407,1445543,1479111,0,0,1429590,1431346
st_main,0,5112689,5331287,0,5113393,5652443,5221266,5651492,5110042,0,5655917,5112847,5109311,5110354,5113054,5110265,5331333,5222245,5220287,5221841,5334538,5109002,5652107,5110151,5109002,0,5222060,5111396,5112964,5217178,5541828,0,5221948
statemate_main,147372,0,0,7139139,0,7056213,147887,7024340,6747328,0,6993658,148123,7157849,7127086,147640,7085034,7115803,146566,7149542,7114544,7130949,0,7060085,148123,7045572,145871,7133842,7247681,7039110,0,7079422,7230107,0
