,adpcm_dec_main,audiobeam_main,binarysearch_main,bsort_main,cjpeg_transupp_main,cjpeg_wrbmp_main,complex_updates_main,countnegative_main,cover_main,dijkstra_main,epic_main,fft_main,filterbank_main,fir2dim_main,fmref_main,g723_enc_main,gsm_dec_main,gsm_enc_main,h264_dec_main,huff_dec_main,iir_main,insertsort_main,jfdctint_main,lift_main,lms_main,ludcmp_main,matrix1_main,md5_main,minver_main,ndes_main,petrinet_main,pm_main,powerwindow_main,prime_main,sha_main,st_main,statemate_main
fir2dim_main,533113,522553,517586,532097,526475,509038,513505,537249,514847,530094,0,507080,514951,516241,516240,516241,516240,516241,516240,516241,516241,516241,516241,516241,516240,516240,516241,516240,516241,516241,516241,516241,516241,516241,516241,516241,516241
fmref_main,56461112,53157896,59380281,56312485,56461112,54589287,59339618,52526858,55610122,57809249,0,54525419,56076359,53143603,59003320,58995720,59318047,59001336,59099538,59015058,59064248,59395360,59324383,59195474,59283674,59093066,59019666,59382711,59384992,58910160,59401529,59284122,58959614,59059290,58965560,59245280,59315487
g723_enc_main,190337614,177824963,190711375,178871368,178315901,178788073,179186557,190499662,176524848,177551626,0,0,177449777,189079625,189894440,178082827,178082826,178082827,178082827,178082827,178082827,178082827,178082827,178082827,178082827,178082827,178082827,178082827,178082827,178082827,178082827,178082827,178082827,178082827,178082827,178082827,178082827
gsm_dec_main,78602979,81822515,78604894,79599386,81541820,81348460,80875534,78602980,80871122,79482875,0,78602979,80871122,80471804,79529362,79599597,79489841,79489840,79489840,79489840,79489841,79489841,79489841,79489840,79489840,79489840,79489840,79489840,79489841,79489841,79489841,79489840,79489840,79489840,79489840,79489840,79489840
gsm_enc_main,616628304,617665517,616847067,487767059,617478918,484951333,618399681,616964072,617718741,619598347,0,0,617718741,597975306,616850954,621591613,597975221,620005337,620005338,620005337,620005337,620005337,620005337,620005337,620005337,620005337,620005337,620005338,620005337,620005337,620005337,620005337,620005337,620005337,620005337,620005337,620005337
h264_dec_main,3095947,0,2919365,98808837,78747076,3221283,93230466,3260073,94109395,3227506,0,3106596,94110226,2246048,89034172,93877084,83496018,98581800,2478969,3237408,88847330,94144777,99346044,2730958,2724843,2889638,99520354,2971767,2689251,10848319,99076145,0,99730449,93706115,3237013,99346044,94144778
huff_dec_main,44182412,45091396,44181965,42847922,43420564,44591048,43692059,44053752,43475036,42335505,0,46637273,44574338,44398201,44996835,42107502,45152673,42388549,43844730,42332987,42332987,42332988,42332988,42332988,42332987,42332988,42332988,42332987,42332988,42332988,42332987,42332988,42332987,42332987,42332988,42332988,42332987
iir_main,18619,19187,18559,20047,19178,19392,18800,18619,19179,20046,0,18827,19179,18121,18577,19006,18121,20047,18619,18619,18710,18710,18710,18710,18710,18709,18710,18709,18710,18710,18710,18710,18709,18710,18710,18710,18709
insertsort_main,97480,98736,97203,97096,97839,135434,98437,98495,127033,96368,0,116566,126706,116309,97385,99332,95944,96369,96194,96193,98014,98024,98023,98023,98024,98024,98024,98023,98023,98024,98024,98023,98024,98023,98024,98024,98023
jfdctint_main,77632,73082,71470,77379,75025,69857,71308,70204,71479,76270,0,69520,71479,75276,78987,78879,73183,78219,72450,69520,75314,76657,74707,74707,74707,74707,74707,74707,74707,74707,74707,74707,74707,74707,74707,74707,74707
lift_main,60742612,60319208,60843932,56369240,58349232,58288060,58388293,59593666,60070750,58443108,0,58007897,60576256,59614158,61548440,59111549,57573119,56975418,59566649,59008883,57550914,58547527,57402384,56530046,56530047,56530046,56530046,56530046,56530046,56530046,56530046,56530046,0,56530046,0,56530046,56530047
lms_main,13452876,13487749,13452875,13506744,13487749,13613385,13508453,13452875,13487749,13506744,0,13452876,13487750,13613384,13452875,13506744,13613384,13527648,13452876,13452876,13506744,13613384,13613384,13452876,13527648,13527647,13527648,13527648,13527648,13527647,13527648,13527648,13527648,13527648,13527647,13527647,13527647
ludcmp_main,709015,693564,709014,702056,693565,710115,693565,709014,693565,702056,0,0,693564,710115,709014,702056,710116,702056,709014,709015,702057,710116,710116,709020,693565,702056,702057,702056,702056,702056,702056,702056,702056,702056,702056,702056,702056
matrix1_main,1549912,1544816,1549911,1543006,1545615,1544712,1544815,1549911,1544815,1543006,0,0,1544816,1544712,1549911,1543006,1544713,1543006,1549911,1549911,1543006,1544712,1544713,1549911,1544816,1543006,1543006,1543006,1543006,1543006,1543006,0,1543006,1543006,1543006,1543006,1543006
md5_main,2221242753,2238715769,2269142029,2267755070,2266036601,2244051037,2269269368,2221245313,2269542520,2222876427,0,2252249729,2269542521,2240984413,2221014913,2222797630,2241294173,2236711486,2269092481,2266127233,2253630014,2244014429,2274356829,2251993729,2269531257,2222848268,2235328641,2270306366,2270306366,2270306366,2270306366,2270306366,2270306365,2270306365,2270306366,2270306366,2270306366
minver_main,344430,0,340270,286870,323959,267761,318039,319042,320161,354815,0,329703,320161,344769,340796,346955,328785,292462,329088,319958,330944,272436,351680,338891,328062,342419,345142,329048,330176,330175,330176,330176,330176,330176,330175,330175,330176
ndes_main,3559704,3649201,3468483,3795616,3815002,3513354,3567643,3683709,3663068,3354168,0,3642035,3568749,3541953,3625686,3895370,3655888,3905480,3835375,3694642,3781860,3813443,3720689,3506000,3270544,3470267,3688271,3507079,3575790,3739554,3739554,3739554,3739554,3739555,3739554,3739555,3739555
petrinet_main,136419,145338,133747,136794,140564,145985,141015,142061,144933,134518,0,0,143657,145713,133109,141106,146853,137442,136826,137945,141122,140515,142001,139535,136864,142834,132245,142286,138485,139250,142012,142012,142012,142012,142012,142012,142012
pm_main,821912566,0,823487043,822689570,0,824535035,822672393,822217866,822958253,822382617,0,0,823815469,823099922,823399644,821806542,823338156,822400615,0,821912566,822544186,824301889,823611493,822550564,822560305,823214789,0,821643353,824293336,822000739,822603772,823253273,823253273,0,823253273,823253273,823253273
powerwindow_main,163447606,193400305,195529383,196698041,0,159916211,195683999,194238973,195897644,162120459,0,162503737,160288583,194672705,197430843,156735758,161754492,197313276,197025381,159965241,162411209,197627586,193514723,0,193899989,126093905,196341480,122132630,160234961,197864085,146904211,183030348,196242506,196242506,0,196242506,196242506
prime_main,1453869,0,269629,1453928,1400963,1465664,1438806,1456121,1438812,1441800,0,1453977,1438920,1475608,248935,1445543,1465663,342880,1393103,1449702,1441799,1465664,1469293,1467168,1451681,974861,1453986,1459218,1469407,1445543,1479111,0,1454496,1406626,1408219,1399199,1431346
sha_main,274412579,276268951,275883306,275846899,276077666,277030116,276130446,274413342,276127258,277245813,0,274414503,276124254,275156853,276018911,275896769,277029898,275769305,277494350,277449621,275897988,275494796,275547351,0,276255663,278314860,277493496,277728783,274691297,275356658,275243061,275825371,0,275640746,275769616,275769616,275769616
st_main,5108383,5429647,5331287,5223602,5541828,5113393,5652443,5221266,5651492,5110042,0,5326723,5655917,5112847,5109311,5110354,5113054,5110265,5331333,5222245,5220287,5221841,5334538,5109002,5652107,5110151,5109002,5429280,5222060,5111396,5112964,5652107,5217178,5541828,5109075,5332713,5221948
statemate_main,147372,7082002,7142303,7139139,6982145,7114004,7056213,147887,7024340,6747328,0,7049265,6993658,148123,7157849,7127086,147640,7085034,7115803,146566,7149542,7114544,7130949,7134367,7060085,148123,7045572,144522,7133842,7247681,7039110,7129240,7072541,7079422,7075126,7230107,7230107
